ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Economics,,FOUND
2,Scarcity,1,FOUND
3,Opportunity Cost,1|2,FOUND
4,Trade-offs,2|3,FOUND
5,Marginal Analysis,3|4,FOUND
6,Incentives,1|3,FOUND
7,Rational Decision Making,3|5|6,FOUND
8,Economic Models,1|7,FOUND
9,Positive Economics,1|8,FOUND
10,Normative Economics,1|8|9,FOUND
11,Microeconomics,1|8,FOUND
12,Macroeconomics,1|8,FOUND
13,Market Economy,1|6,FOUND
14,Command Economy,1,FOUND
15,Mixed Economy,13|14,FOUND
16,Factors of Production,1,FOUND
17,Production Possibilities,2|16,FOUND
18,Efficiency,3|17,FOUND
19,Demand,1|11,MICRO
20,Law of Demand,19,MICRO
21,Demand Curve,19|20,MICRO
22,Change in Demand,19|21,MICRO
23,Determinants of Demand,19|22,MICRO
24,Normal Goods,19|23,MICRO
25,Inferior Goods,19|23|24,MICRO
26,Substitute Goods,19|23,MICRO
27,Complementary Goods,19|23|26,MICRO
28,Supply,1|11|16,MICRO
29,Law of Supply,28,MICRO
30,Supply Curve,28|29,MICRO
31,Change in Supply,28|30,MICRO
32,Determinants of Supply,28|31,MICRO
33,Market Equilibrium,21|30,MICRO
34,Equilibrium Price,33,MICRO
35,Surplus,33|34,MICRO
36,Shortage,33|34|35,MICRO
37,Price Mechanism,6|33|34,MICRO
38,Price Ceiling,34|36,MICRO
39,Price Floor,34|35,MICRO
40,Elasticity,20|21|29|30,MICRO
41,Price Elasticity of Demand,40,MICRO
42,Elastic Demand,41,MICRO
43,Inelastic Demand,41|42,MICRO
44,Consumer Surplus,21|34,MICRO
45,Producer Surplus,30|34,MICRO
46,Utility,7|19,MICRO
47,Marginal Utility,5|46,MICRO
48,Diminishing Marginal Utility,47,MICRO
49,Consumer Choice,7|46|48,MICRO
50,Budget Constraint,3|49,MICRO
51,Production Function,16|28,MICRO
52,Marginal Product,5|51,MICRO
53,Diminishing Returns,52,MICRO
54,Marginal Revenue,5|28,MICRO
55,Marginal Cost,5|51|54,MICRO
56,Average Total Cost,55,MICRO
57,Fixed Costs,51|56,MICRO
58,Variable Costs,51|56|57,MICRO
59,Economies of Scale,56|58,MICRO
60,Profit Maximization,5|54|55,MICRO
61,Market Structure,11|33,MKSTR
62,Perfect Competition,61,MKSTR
63,Price Taker,62,MKSTR
64,Monopoly,61|62,MKSTR
65,Natural Monopoly,59|64,MKSTR
66,Price Maker,64,MKSTR
67,Oligopoly,61|64,MKSTR
68,Monopolistic Competition,61|62|64,MKSTR
69,Product Differentiation,68,MKSTR
70,Barriers to Entry,64|67,MKSTR
71,Market Power,64|66|70,MKSTR
72,Market Failure,18|61,PUBEC
73,Externalities,72,PUBEC
74,Negative Externality,73,PUBEC
75,Positive Externality,73|74,PUBEC
76,Public Goods,72,PUBEC
77,Free Rider Problem,76,PUBEC
78,Common Resources,72|76,PUBEC
79,Tragedy of the Commons,78,PUBEC
80,Deadweight Loss,44|45|72,PUBEC
81,Government Intervention,72|80,PUBEC
82,Taxes,81,PUBEC
